Designator,Mid X,Mid Y,Rotation,Layer
_8,11.9105,3.2855,0.0,top
_7,11.9105,42.0855,0.0,top
_6,-45.0895,36.2855,0.0,top
_5,-45.0895,17.2855,0.0,top
_4,57.1105,-2.3145,0.0,top
_3,83.0605,-2.3145,0.0,top
_2,83.0605,-2.3145,0.0,top
,55.1605,45.0855,0.0,top
BAT+1,48.5605,-5.4145,180.0,top
BATGND1,48.5605,-1.9145,180.0,top
D1,-60.9395,48.6855,90.0,bottom
D10,-4.0395,37.0855,90.0,bottom
D11,15.1605,34.3855,90.0,bottom
D12,34.2605,31.7655,90.0,bottom
D13,-61.0395,10.6855,90.0,bottom
D14,-41.9395,10.2855,90.0,bottom
D15,-23.0395,15.6855,90.0,bottom
D16,-3.9395,17.9855,90.0,bottom
D17,15.1605,15.5855,90.0,bottom
D18,34.2605,13.1355,90.0,bottom
D19,5.668,-4.1145,90.0,bottom
D2,-41.8395,48.2855,90.0,bottom
D20,27.5605,-4.8145,105.0,bottom
D21,48.9605,-11.4145,120.0,bottom
D3,-22.9395,53.2855,90.0,bottom
D4,-3.9395,55.7855,90.0,bottom
D5,15.2605,53.2855,90.0,bottom
D6,34.2605,50.7855,90.0,bottom
D7,-60.9395,29.7855,90.0,bottom
D8,-41.8395,29.3855,90.0,bottom
D9,-23.0395,34.5855,90.0,bottom
PWR_1,58.3105,62.1855,270.0,top
PWR_2,50.8105,62.1755,270.0,bottom
RST1,83.5105,55.3855,270.0,top
SW1,-52.7045,45.7705,0.0,top
SW10,4.348,33.8905,0.0,top
SW11,23.348,31.5155,0.0,top
SW12,42.348,29.1405,0.0,top
SW13,-52.7045,7.7005,0.0,top
SW14,-33.652,7.7655,0.0,top
SW15,-14.652,12.5155,0.0,top
SW16,4.348,14.8905,0.0,top
SW17,23.348,12.5155,0.0,top
SW18,42.348,10.1405,0.0,top
SW19,13.848,-7.1095,0.0,top
SW2,-33.652,45.7655,0.0,top
SW20,34.848,-9.8595,345.0,top
SW21,54.8105,-18.17764,330.0,top
SW3,-14.652,50.5155,0.0,top
SW4,4.348,52.8905,0.0,top
SW5,23.348,50.5155,0.0,top
SW6,42.348,48.1405,0.0,top
SW7,-52.6945,26.7505,0.0,top
SW8,-33.652,26.7655,0.0,top
SW9,-14.652,31.5155,0.0,top
